titles,desc,valid
Desenvolvedor sênior,"Desenvolvimento de soluções em tecnologia para o segmento imobiliário.Tecnologias utilizadas: Node, Postgre, React, Digital Ocean",fullstack
Desenvolvedor Full Stack Sênior,"Desenvolvimento de sistemas, utilizando-se de tecnologias modernas e processos de deploy automatizados. Foram entregues dois produtos, um consistia em um sistema de lances e outro uma plataforma de delivery.Tecnologias utilizadas: Node, Nestjs, Postgre, Mongodb, Typescript, Docker, NGINX, Redis, Bull, Vue, Nuxt, Vuetify, Vercel, Microservices, Socket.io, TypeOrm",fullstack
Desenvolvedor Full Stack Sênior,"Garantir o cumprimento dos prazos e requisitos técnicos necessários para o cumprimento das atividades técnicas de desenvolvimento.Tecnologias utilizadas: .NET, Windows Forms, WPF, SIlverlight, DevExpress, Extjs, Angulajs, Angular 2, SQL Server, Oracle, Elmah.io, Log4net, Selenium, Specflow",fullstack
Desenvolvedor Full Stack Pleno,"Prestar orientações técnicas relacionadas à área de atuação, promovendo a evolução técnica dos demais pares de trabalho. Contribuir para as decisões de design e arquitetura.",indefinido
Desenvolvedor Full Stack Júnior,"Buscar permanentemente melhorias da área de atuação, visando manter os processos atualizados e competitivos. Entender o problema e implementar soluções, primando por código limpo e de qualidade conforme padrões de codificação e usabilidades estabelecidos.",indefinido
Estagiário,"Auxiliar no processo de desenvolvimento de sistemas conforme orientações, buscando conhecer e aplicar boas práticas de codificação. Contribuir com a equipe na remoção de impedimentos.",indefinido
Desenvolvedor front-end,Desenvolvimento de softwares para projetos internos.,indefinido
Engenheiro de software,Encarregado da manutenção de sistemas e criação de novos softwares.,indefinido
Front-end Developer Jr,TRUE,indefinido
Freelancer,Competências: Jest · React.js · Node.js · HTML5 · CSS · MongoDB,fullstack
jovem aprendiz em comércio e varejo,"Atividades Desempenhadas: Fazia os cartões para os clientes, reposição de estoque, reposição de preços dos produtos, Atendimento aos clientes, contava dinheiro, trocava dinheiro para as caixas, organização de produtos.",indefinido
Frontend Developer,"Contributing to the construction of the Customer Design System - (SASS)Developing and maintaining other Customer products - (Vue 2 and Vue 3, Unit Testing)Internal application development - (Angular, Angular Material, Tailwind)",front
Frontend Development Consultant,Competências: Desenvolvimento de front-end · Design gráfico · Edição de imagens · Desenvolvimento de sites · CSS · HTML5 · Bootstrap · Microsoft SQL Server · SQL · JavaScript · Git · JQuery,front
Full Frontend Analyst,"Creation and maintenance of the Layout of the internal screens of the Web systems, using HTML + CSS + bootstrap + Javascript + Jquery + Coldfusion.",front
"Frontend Dev, Graphic Designer and Freelance Video Editor","- Development of High Fidelity Layouts with Adobe XD and Figma- Mastery of Adobe Package (Fireworks, Photoshop, Illustrator, XD, After Effects, Premiere and Indesign)- Graphic Design (Creation, Editing and Finalization): - Visit cards - Creation of Flyers and Folders - Creation of Logos and Banners - Institutional Presentation (Power Point) - Diagramming - Visual Identity Creation - Advertisement pieces- Social Media Management (Facebook, Youtube, Instagram)",front
Volunteer graphic designer,"I develop graphic arts for the posts on the page, in addition to acting as a photographer sometimes.",indefinido
Freelance Photographer and Videomaker,"I am responsible for photographing, recording, editing videos and photos, where I cover various events and perform photo shoots.",indefinido
React Native Developer,Using:Typescript + Expo + Expo Push notifications + Styled components + Swr + Axios + Firebase + Algolia + Husky,mobile-fullstack
Frontend Developer,"I worked at Startup Flash Deliveries in the Creation and Development of the Web System Layout where I developed the visual part of the internal system in less than 15 days, which was one of the reasons why I was hired to continue the maintenance and the redesigned Home page with my entry into the company.Technologies I used: HTML5 + CSS3 + JS + JQuery + Bootstrap + Echarts + Bootstrap Tables + Codeigniter + PHP. Automated integration tests using Cypress",front
Jr Systems Analyst,At Softwell Solutions I was responsible for the maintenance and improvement of the products - Maker Studio and Maker Mobile for Web and Mobile Systems and Creation of Layouts for WEB and Mobile Hybrid systems (WebView)Technologies used: HTML5 + CSS3 + JS + JQuery + Bootstrap + Materialize.,front
Computer Technician and Teacher,"Management of some school management and database programs. Preparation of class reports. Research and Purchase of materials and equipment. Preparation, Management and Delivery of Computer classes for children, youth, adults and seniors. Elaboration of graphic arts for school and school events and management of social networks. Maintenance of computers and wired network. Preparation, Management and Execution of Training related to IT for employees.",indefinido
Junior System Analyst,"Web Development in ColdFusion, HTML, CSS and JavaScript using Dreamweaver; and the SQL language using the SQL Sever 2012 DBMS. Screen Prototyping, Meeting with the client to analyze requirements.",front
Computer Instructor and Technician,"Support for computer and network systems, installation of the entire wired network and company network devices and the Classroom System. Monitoring and assistance with doubts for students with the Classroom System, Customer Service,",indefinido
Administrative Assistant Young Apprentice,"Customer service by phone and in person, taking copies, routing protocol and filing documents, among others.",indefinido
Desenvolvedor Frontend ReactJS e VueJS Sênior,"Atuo como arquiteto e também como desenvolvedor principal no frontend de um dos produtos da empresa, uma plataforma de CMS chamada Gestor de Conteúdo, que tem como propósito possibilitar que educadores e gestores gerenciem o conteúdo de outros produtos da empresa.Atuo também dando manutenção e realizando novos desenvolvimentos no frontend dos demais produtos da empresa.Tecnologias do dia a dia: Reactjs, Redux,Typescript, Styled Components, Ant Design, Storybook, Cypress, Vuejs, Vuex e Heroku",front
Desenvolvedor Fullstack .Net Pleno,"No backend atuando com C#, SQL Server, .Net Framework, .Net Core e Entity Framework. No frontend atuando com React e Redux. Trabalhando na migração e manutenção das plataformas e sistemas os quais a AzimuteMed fornece aos seus clientes.",fullstack
Desenvolvedor Full Stack Pleno,"Atuando no backend e no frontend. No backend atuando com PHP(Laravel), Golang e MySQL, já no frontend atuando com Vue.js.",fullstack
Full Stack e Tech Lead,"Atuando no planejamento, desenvolvimento e coordenação de todas as questões relativas à área de tecnologia da empresa. O Conjunto de tecnologias utilizadas: PHP (Laravel), Node.js, Vue.js, MongoDB, Git, MySQL, AWS(EC2 e RDS), Docker, NGINXGerencio equipes flexíveis entre 2 e 3 desenvolvedores de acordo com as necessidades do projeto em questão.",fullstack
Desenvolvedor Full Stack Júnior,"Atuando no back-end e no front-end principalmente dando manutenção no sistema do Clube da Fluência, desenvolvendo novas funcionalidades para o mesmo e desenvolvendo outros sistemas internos, exemplo um dashboard para análise de dados. No back-end atuando com Laravel, MongoDB e MySQL, no front-end atuando com Angular.",fullstack
Desenvolvedor Back end PHP,"Desenvolvimento e manutenção das integrações com os marketplaces utilizando PHP, principalmente com Laravel 4.x e 5.x.Atuando em um contexto onde boas práticas de desenvolvimento e soluções que escalam são essenciais, já que a aplicação realiza diversas operações a todo momento.Contato diário com: APIs REST, MySQL, TDD, BDD, Linux, Docker, Laradock, MongoDB e Git.",back
Desenvolvedor Full-Stack - (Prestador de Serviço),"Atividade Notável:​ Desenvolvimento de um sistema de pagamentos utilizando a API Cielo 3.0.Descrição e Atribuições: ​ Planejamento técnico, desenvolvimento, implantação do projeto final,manutenção e suporte do projeto final. Atuo tanto no front-end quanto no back-end.",indefinido
Desenvolvedor Web,"Planejamento técnico, desenvolvimento, implantação do projeto final, manutenção e suporte do projeto final.",indefinido
Full Stack Developer,Competências: Adobe XD · API REST · HTML · React.js · React Native · Gestão de projetos · Desenvolvimento de software · Laravel · Zend Framework · PHP · MySQL · CSS · JQuery · Adobe Illustrator · Adobe Photoshop,fullstack
Web Developer,Competências: Inteligência de negócios (BI) · HTML · PHP · MySQL · CSS · JQuery · Adobe Illustrator · Adobe Photoshop,fullstack
Web Developer,Competências: HTML · PHP · MySQL · CSS · JavaScript,fullstack
Analista de sistemas,"Atuando no Banco Bocom BBMDesenvolvendo aplicações Front-end com JavaScript, ReactJS e testes unitários com JestBack-end .Net Core, Entity Framework Core e .Net Framework .banco de dados relacional SQL SERVER.Acompanhando processos nos Pods do Kubernetes, Acompanhamentos de Code Reviews para Pull Requests na plataforma AzureFramework ágil: Scrum",fullstack
Analista de Sistemas Jr.,"Atuando na PRODEB (Companhia de Processamento de Dados do Estado da Bahia)Desenvolvendo aplicações com .Net Core no back-end, aplicando o SOLID, DDD, IoC, AutoMapper, TDD com o Entity Framework Core.front-end com vue.js e banco de dados com SQL Server.Atuando com CI/CD nos projetosMetodologia ágil nos projetos: kanban",fullstack
Programador Jr.,"Analise e desenvolvimento de sistemas escritos em C#- Entity Framework - WebForms com metodologias BLL, DAL e DTO- Webservices RESTBanco de dados SQL Server- Criação de stored procedures",back
Estagiário em Desenvolvimento de Sistemas,"Desenvolvendo sistemas internos da empresa com PHP no back-end, BootStrap no front-end e SQL no Banco de dados, utilizando medidas de seguranças no processo de desenvolvimento dos softwares.Ferramentas utilizadas para o desenvolvimento:VSCode com Plugins FTP para conexão com o servidor Web.SSMS, SQL Server Management Studio ferramenta utilizada para manipulação do banco de dados.",fullstack
Estagiário de tecnologia da informação,"Auxílio no suporte aos usuários da empresa, manutenção de equipamentos, inventários do parque de maquinas e aparelhos celulares.",indefinido
Estagiário de TI,"Suporte aos usuários da empresa.Projeto de cabeamento estruturado para atender todos os setores da empresa, utilizando o Cisco Packet Tracer.Sistema de portfólio web com elaborado em PHP no back-end, bootstrap no front-end e SQL no banco de dados, com inventário de produtos.",fullstack
Jovem Aprendiz em TI,Auxilio no suporte aos usuários atendendo aos chamados utilizando o sistema Ocomon,indefinido
Desenvolvedor FrontEnd com Vue.js,"Desenvolvimento de sistemas para Agronomia utilizando Vue 3, Typescript, Composition API, Pinia para controle de estado, Consumo de API Rest Com Axios, Framework UI Vuetify, GitFlow, Eslint, Stylelint, Teste Unitário com Jest e E2E com Cypress.Bibliotecas gráficas como Chart.js e Highcharts.Criação de animações avançadas customizadas e a utilização de biblioteca de animação como Animate.css e Vivus.js para criação de cenários animados.Docker Compose para utilização de containers.CI/CI com Netlify.Tomadas de decisão para a criação e atualização de UI/UX.Plataforma de monitoramento de fazendas afim de gerar Insight para a tomada de decisão do(a) fazendeiro(a) na adubação, plantio, pulverização e colheita, através de dados coletados de uma estação meteorológica.Acompanhamento de dados em tempo real ou com históricos.",front
Cabo,"Desenvolvedor de sites em HTML5, CSS3 Responsivo com PHP, MYSQL e Vue.js para os setores dentro da unidade militar para serem acessados através do intraer.",fullstack
Frontend Developer,Competências: Nuxt.js,front
Founder | Producer,It is a Brazilian studio focused on premium pixel art style games. We are a lean team with only four people working on the games. And we use Game Maker Studio 2 as an engine to create the games.,indefinido
Desenvolvedor de front-end,Competências: JavaScript · Vue.js,front
Desenvolvedor de front-end,- Projeto Portal BR Smiles - React,front
Analista de Sistemas e Desenvolvimento II – Mobile Híbrido,Competências: Desenvolvimento de aplicativos móveis · Desenvolvimento de front-end · Redux.js · Node.js · Git · TypeScript,mobile-fullstack
Desenvolvedor Mobile Pleno,Competências: GitHub · Desenvolvimento de aplicativos móveis · Desenvolvimento de front-end · Redux.js · Node.js · Git · TypeScript · SASS · HTML5,mobile-fullstack
Analista de desenvolvimento,Competências: Bootstrap · GitHub · Desenvolvimento de aplicativos móveis · Desenvolvimento de front-end · Redux.js · Node.js · Git · TypeScript · SASS · HTML5,mobile-fullstack
Estágiario de TI,Prestar suporte técnico e desenvolvimento de aplicações web,indefinido
Senior Back End Developer,"Responsibility per refactored legacy code in javascript to NEST.JS with typescript, infra switch to AWS, mapping and enhancing functions and fix bug.",back
Sênior Back-end Developer,"Responsibility per refactored legacy code in javascript to NEST.JS with typescript and architected and created new features, mapping and enhancing functions, fix bug, responsible for integration with the systems of Droga Raia, Delivery Much, Uai Rango, Jotajá and more.",back
Desenvolvedor,I took on several requests for UENF grants with systems made in Ruby on Rails and Node.JS,back
Software Developer,"Development of customized softwares for Multiplatforms using C# with ASP.net. Pharmacies, supermarkets, cafeterias, Beauty Salon, Grocery stores and commerce in general. Also with the option of being tax systems, with the issuance of an invoice approved by the government.",back
Technical support analyst,Technical support in all area of informatics.,indefinido
Technical support analyst,Support analyst overnight shift of the Other Services (Technical Services) team at Petrobras,indefinido
Programador Sênior,"Desenvolver módulos e soluções para integrar o software da empresa com a internetDesenvolver aplicativos mobile, para integrar o software da empresa com Android e IOS.Desenvolver novas funcionalidades para o software da empresaDesenvolvimento de websites dos clientes da empresaIntegrações envolvendo os mais diversos bancos de dados (Oracle, MSSQL, MySQL, MariaDB, PostgreSQL, Firebird, e etc).Criação de Windows Services e Web Services, utilizando a tecnologia RESTFull, para ampliação de alguns serviços, utilizando o padrão de comunicação JSON.Desenvolvimento de aplicações web, utilizando VueJS, Node.js, Express.js e MongoDB.Desenvolvimento de aplicações com back-end PHP e MySQL.Desenvolvimento de aplicações em Delphi 11 Alenxadria, Firemonkey e VCL.",fullstack
Suporte Técnico,"Suporte ao cliente, auxiliando nas demandas de um servidor de hospedagem.",indefinido
Desenvolvedor Front-end,"Prestei serviços com variados clientes e tecnologias. Aprendi ainda mais o lado de negócio que já vinha desenvolvendo desde a contabilidade, também trabalhei com janelas extremamente apertadas para entrega conseguindo ter o trabalho bem sucedido. Tive oportunidade de usar tecnologias e ferramentas que nunca havia experimentado anteriormente e foi uma ótima experiência. Aqui o trabalho é sob demanda. O cliente entra cem contato com a head de marketing e ela me passa um briefing sobre o projeto e todos os arquivos do cliente. Fico responsável por fazer o design do zero ou mudanças e melhorias no design e features do site.",indefinido
Software Engineer,"Analyzing, Developing, Testing and/or Consulting under contract. One of the projects I worked on entirely below.",indefinido
C# Developer,"Development of internal tools, direct and indirect actions in RedTrabaje.com and TrabalhaBrasil.com.br projects.",indefinido
Help Desk Agent,"Internal technical assistance regarding the various software used in the company, creation, execution and forwarding of remote maintenance order.",indefinido
Technical Support Engineer,"Contact with the customer to clarify doubts (about the use, configuration, maintenance of the system and/or the device provided by the company), training and guidance. Preparation of documents for use as customer reference. Creation, execution and forwarding of remote maintenance orders.",indefinido
Information Technology Intern,"Access terminal maintenance, local network and user access, installation of specific software per terminal, basic technical support, creation, execution and forwarding of remote maintenance orders.",indefinido
Front End Developer,"- Implementação e desenvolvimento de Sites, Landing Pages, E-mail Marketing e Portais.
- Programação de E-mail Marketing
- Programação de banners em HTML5
- Desenvolvimento de templates em WordPress",front
Creative,"- Assistência e criação de peças para posts em redes sociais
- Liberdade criativa
- Pesquisa e Brainstorming
- Criação de layouts 
- Projeto final (PSD, Illustrator, entre outros)",indefinido
Digital Art Director,"- Direção de arte com ênfase em web
- Criação de identidade visual com ênfase no digital
- Pesquisa de interatividade e experiência de usuário
- Implementação de mockups e wireframes
- Projeto final (Layout PSD, HTML, CSS, entre outros)",front
Assistente de Arte,"- Assistência de arte para protótipos de sites (Layouts).
- Assistência de arte para banners
- Pesquisa e Brainstorming",indefinido
Assistente de Arte,- Desenvolvimento de arte para embalagens.,indefinido
Assistente de Arte e Desenvolvedor Web,"- Assistência de arte para banners em Flash.
- Edição e programação em Flash (ActionScript 2.0)",indefinido
Assitente de Arte,"- Assistência de arte para imagens
- Design de apresentações
- Pesquisa e Brainstorming",indefinido
Assistente de Arte e Desenvolvedor Web,"- Assistência de arte para protótipos de sites (Layouts).
- Assistência de arte para banners
- Customização de layouts para CMS (Joomla)
- Conversão de layouts PSD para HTML e CSS.
- Pesquisa e Brainstorming",front
Web Designer,"- Assistência de arte para protótipos de sites (Layouts).
- Assistência de arte para banners
- Pesquisa e Brainstorming",indefinido
Arte Finalista,"- Arte finalização de cartões de visita, panfletos e banners",indefinido
Software Engineer,"About:A platform where you receive payments securely for your store and also for your customer.They do all the communication with the flags, banks and other services along the way and you still follow all your sales on our dashboard.About the work:Maintenance in different dashboards (react and vue), creation of screens, performance improvements.Technical challenges- Create a monorepo architecture with Micro Front-End and module federation- Micro frontend deployment with Github actions and AWS- Create end-to-end tests with cypress- Maintain a backend application with nodejs- Refactor screens to improve customer performance and usabilityTechs:Reactjs, vuejs, cypress, unit test, jest, Context API, react testing library, monorepo, micro front-ends with SPA and Module federation.Nodejs, swagger, dynamodbLinks:https://pagar.me/https://beta.dashboard.sandbox.pagar.me/#/account/login",fullstack
Software Developer,"About:Software that simplifies and generates value in the Construction Industry, Justice and Public Management markets. With more than 6,000 customers spread across BrazilAbout the work:Maintenance in a management system for the construction industry, creation of new screens.Technical challenges:- An extension was created in VSCODE to help devs who don't have exp in react to follow company standards- Creation of components for the design system and component documentation- Refactoring screens in JSF for react- I learned architecture concepts and tests such as Hexagonal architecture, TDD, unit tests and Microservices in java and NodeJsTechs:React, Redux, Context API, Material UI, Jest, Enzyme, HTML, CSS, react testing library, Docz, Figma,Java, Spring Boot, Hibernate, NodeJs, Typescript, MongoDB, PostgreSQLTechsLinks:https://www.softplan.com.br/https://go.sienge.com.br/https://lorenaporphirio.com/blog/article/how-to-create-extension-in-vscodehttps://github.com/LorenaKauane/generate-component-from-template",fullstack
Software Developer,"About:Kroton Educacional is one of the largest private educational organizations in Brazil and in the world,with a trajectory of more than 45 years in the provision of services in Basic Education and more than 10 years in Higher Education.About the work:Maintenance on an internal Single Sign-on platform, where you would be able to specify user profiles for each company's internal system. Registration and listing of articles, dashboards, etc.Technical challenges:- Change styling lib to ANTD- Refactor screens to standard hooks and remove legacy screens- Make the system faster and more visually intuitive for customers- Major lib version update- Power BI integration with reactTechs:React, Redux, Antd design, Jest, Enzyme, HTML, CSS, Styled Components, Jquery, NodeJs, Adonis, Azure Devops, Integration power biLinks: https://www.kroton.com.br/https://prisma.kroton.com.br/",fullstack
Software Engineer,"Responsible for creating interfaces, components and resources designer, always focusing on visual layout, interface / user interaction and user experience. Technologies used are: HTML, CSS, Javascript, Angular, Adobe XD, Ionic.",front
Software Engineer,"Responsible for creating interfaces, components and resources designer, always focusing on visual layout, interface / user interaction and user experience. Technologies used are: HTML, CSS, Javascript, ReactJS, AdonisJs, Postgresql, Figma.",front
Customer Hero,"A Estuda.com é uma plataforma de avaliação e gestão do conhecimento, quer dizer que ajudamos escolas na criação, gestão e aplicação de provas,simulados e listas de exercícios, transformando todos esses dados em relatórios.",indefinido
Desenvolvedor full stack,"Atuei como tech lead do time, gerenciava e organizava as tarefas, atuava na resolução de bugs em produção, publicava uma nova versão do app nas lojas, cuidava da infra estrutura e das funcionalidades do aplicativo. Também atuei com outros projetos web e API em paralelo.",indefinido
Auxiliar administrativo,"Empresa dona de polos da UNINTER, atendimento e orientação dos alunos",indefinido
Desenvolvedor Full Stack,Home Office 100%,indefinido
Desenvolvedor web front end,Competências: SASS · HTML5 · Automação de testes · Jasmine Framework · Karma · ESLint · Maven · Git · Jenkins · Desenvolvimento de software · Java · JavaScript · CSS · AngularJS · Hibernate · Primefaces · Arquitetura MVC · Eclipse · Apache Tomcat · JSP · React.js,front
Desenvolvedor de software sênior,Competências: HTML5 · Microsoft SQL Server · Jasper Reports · Oracle SQL Developer · Desenvolvimento de software · Java · JavaScript · CSS · MySQL · PostgreSQL · SQL · Apache Tomcat · PL/SQL · Levantamento de requisitos,fullstack
Suporte técnico,Competências: Suporte técnico,indefinido
Full Stack Developer,"Responsible for developing scalable web applications with high availability, using cloud resources to always provide the best user experience.",indefinido
Tech Lead,"Responsible for developing scalable web and mobile applications with high availability, using cloud resources to always provide the best user experience.",indefinido
Tech Lead,"Responsible for developing scalable applications with high availability, using cloud resources to always provide the best user experience.",indefinido
Senior Software Developer,"Development of Web Applications, using the concept of Micro Services to meet the needs of quick adaptation, extension, high availability and facilitate the day-to-day business.",indefinido
Senior Software Developer,"Development of web applications, hybrid mobile applications using Ionic.Maintenance and new implementations in customer applications already in production, creation of hotsites and institutional sites using MySQL, SQL Server, shared servers, Cloud Computing, Azure, Linux, HTML, JavaScript, JQuery, PHP, C#, ASP .NET Core, ASP .NET MVC, Bootstrap, and other front-end frameworks.",fullstack
Software Developer,"Web Systems Development using Web API, C #, AngularJS, Microsoft SQL Server, NHibernate and JavaScript.We follow the SCRUM methodology to increase team performance and ensure project deadlines.We work in a knowledge sharing environment and always looking to innovate and improve the development process. We are free to give ideas and propose improvements.Always seeking to apply the best practices of development and security information.",fullstack
Software Developer,"Responsible for analyzing and developing tests and test plans for applications.Creation of tests for the Hardening process, Exploratory Tests and Scalability Tests.I was also responsible for developing software functionality and quality analysis using SCRUM methodology and Microsoft tools to increase process productivity.Experience with Microsoft Test Management and TFS working together with SCRUM to creation and configuration of test environments.",indefinido
Software Developer,I was responsible for developing and maintaining websites and web systems using DDD and TDD.,indefinido
Network Technical Analyst,"Responsible for maintaining the entire structure of servers and networks, telephony and security cameras.Customer service and maintenance of equipment such as computers and printers.Configuration and installation of no breaks, servers and systems.",indefinido
Technical Support Analyst,Responsible for maintaining and configuring telephone recorders.Also responsible for maintaining and creating the structure of the Audible Response Unit (ARU).Configuration and installation of servers.,indefinido
Trainee,Responsible for installing and maintaining computer equipment. Maintain Servers and customer service.Maintenance on Windows and Linux computers and printers.,indefinido
CTO - Chief Technology Officer,Competências: Amazon ECS · Amazon EC2 · JIRA · Comércio eletrônico · Node.js · Scrum · DevOps · Amazon CloudFront · Amazon DynamoDB · Elasticsearch · Jenkins · Amazon SageMaker · AWS CloudFormation · AWS Lambda · OutSystems · C# · Arquitetura de sistema,back
Tech lead,Competências: Amazon ECS · Amazon EC2 · JIRA · Comércio eletrônico · Apache Airflow · Node.js · Scrum · DevOps · Amazon CloudFront · Amazon DynamoDB · Elasticsearch · Docker · Amazon S3 · AWS CloudFormation · C# · Arquitetura de sistema,back
Diretor de operações,- Responsável pela gestão da operação de desenvolvimento de produtos e software house da empresa.- Participação como Product Manager e desenvolvedor na construção de uma plataforma de e-commerce e marketplace.,indefinido
Full-stack Data Scientist,Competências: Amazon EC2 · JIRA · Node.js · Scrum · Amazon CloudFront · C# · Arquitetura de sistema,back
Senior Full-stack Developer Team Lead,Líder da equipe de desenvolvimento do e-commerce da Grão de Gente.,indefinido
Senior Full-stack Developer,"Um dos maiores e-commerce do Brasil.Primeiro e-commerce no Brasil e um dos primeiros no mundo a utilizar AMP Acelered Mobile Pages em suas páginas de produto.Entre minhas responsabilidade, estão:- Responsável pelo desenvolvimento, Phyton e JS, de ferramenta para mineração de dados, que servem de insumo para o sistema de Recomendação do e-commerce.- Responsável pelo desenvolvimento e implantação do cluster de machine learning da ferramenta de recomendações e buscas. O algoritmo de aprendizagem foi desenvolvido em Scala utilizando o driver PredictionIO. Para a estrutura do cluster foram utilizados Hbase e Elasticsearch no armazenamento de dados, Hadoop para a gestão do sistema de arquivos e Spark para o treinamento da máquina.- Responsável pela arquitetura implantação de backend REST utilizando Node e ElasticSearch em infraestrutura GCloud.- Desenvolvimento full-stack da plataforma de e-commerce em Angular 6 com Redux no front e .NET para o backend.- Arquitetura AWS Cloud e Google Cloud.- Integração continua com Jenkins.- Integração com Tag manager e Google Analytics",back
Analista de sistemas .NET,"- Participação na análise e desenvolvimento de sistemas de controle de frotas, utilizando .NET Web API para o desenvolvimento backend, Agular 2 para o frontend, Java Android e Ionic para a versão iOS do aplicativo.- Responsável pela arquitetura e desenvolvimento de web component para serviço de chat utilizando a plataforma cloud Firebase para a comunicação entre browser e aplicativos android.",fullstack
Arquiteto de software,"- Responsável pela refatoração, implementação de uma nova arquitetura, utilização de testes unitários e exposição de APIs REST para o a plataforma de gamificação da empresa (Platamine). O serviço foi desenvolvido com CakePHP e Javascript, utilizando infra-estrutura de nuvem da Amazon (EC2, S3, RDS, Elastic Beanstalk, Route53), possuí 4 mil usuários e mais de 13 milhões de requisições atendidas.- Arquiteto responsável pelo desenvolvimento da solução Rush, participando desde a concepção da ideia, o levantamento de requisitos, a modelagem UML, o banco de dados SQL, seu desenvolvimento utilizando o CakePHP, o escalonamento dos servidores (AWS), o versionamento semântico do código com GIT e participando do desenvolvimento da aplicação em C# com o Unity.- Participação do desenvolvimento da solução Ludome, plataforma de treinamento inovadora e gamificada desenvolvida em conjunto com a FAPESP, trabalhando na implementação de novas features, refatoramento de código e produção da documentação do código a partir de engenharia reversa.- Responsável pela manutenção, adição de novas features e integração com o Google Cloud Message do aplicativo nativo Android Wannadoo, um aplicativo gamificado para gestão de pessoas.- Responsável pela adoção da prática de modularização dos sistemas, criando plug-ins para o framework CakePHP, diminuindo o acoplamento e aumentando a taxa de reutilização de código através de submódulos no GIT.- Evangelizador da prática de utilização do Atomic Design com LESS para o desenvolvimento do front das aplicações.- Responsável pela criptografia das aplicações através da manutenção dos certificados SSL.",back
Analista Programador,"- Líder do time de desenvolvimento durante a fase de refatoração do projeto BlueConecta, um captive portal desenvolvido em PHP, presente em mais de dois mil estabelecimentos no Brasil que conta com mais de 100.000 acessos diários. - Responsável pela documentação do código, fazendo uso da engenharia reversa.- Responsável pela modularização do código legado em serviços REST e SOAP.- Responsável pela reestruturação do banco de dados SQL da aplicação, fazendo a normalização deste e diminuindo a redundância de dados.- Responsável pela manutenção do aplicativo nativo Android e sua integração com as APIs do Facebook.- Responsável pela elaboração dos planos de rollback e deploy da aplicação.",back
Founder and Full stack Developer,"- Responsável pelo desenvolvimento de sites em PHP, MySQL, CSS e jQuery.- Responsável pelo desenvolvimento de advergames utilizando C# e Unity para eventos da Faculdade Anhanguera.- Responsável pelo desenvolvimento dos aplicativos nativos Android Catalogo Virtual 3M e Provador Virtual 3M.",fullstack
Artista 3D / Desenvolvedor,"Como artista 3D, fui responsável pelo setor de lowpoly da agência.- Realizei modelagens de ambientes 3D para simuladores.- Otimização e redução de polígonos de objetos.- Prototipação de produtos.- Modelagem de máquinas para animações.- Renderização de ambientes para aplicativos.Como desenvolvedor, fui responsável pelo desenvolvimento front-end da equipe e líder técnico para experimentação e criação de protótipos com novas tecnologias.- Desenvolvimento de sites.- Desenvolvimento de simuladores.- Desenvolvimento de protótipos com realidade aumentada.",indefinido
Modelador 3D,"Como modelador 3D, modelei ambientes low poly para o jogo educativo Operação Cosmos 2.",indefinido
Artista Audiovisual,"Como artista audiovisual, fui responsável pela criação de vinhetas e artes para as aulas dos cursos de EAD da faculdade.- Participei da criação de animações.- Trabalhei com a criação de vinhetas.- Fiz ilustrações para ilustrar o conteúdo didático.- Fiz edição de áudio para as composições- Participei da elaboração dos roteiros das aulas, ajudando na tomada de decisão quanto a viabilidade das cenas.",indefinido
Desenvolvedor Front-end,"Como desenvolvedor front-end, fui responsável por toda a parte de criação e desenvolvimento front-end da equipe.- Participei ativamente no planejamento estratégico da empresa, na formação do cronograma e na definição de prioridades e metas dos projetos.- Fui responsável pela criação e apresentação dos projetos, do protótipo ao produto em si.- Criei peças gráficas para campanhas publicitárias.- Fui responsável UX dos sistemas.- Fui responsável S.E.O dos sites.",front
Engenheiro de software,"Realização de atividades em Front-end e Back-end, utilizando como base Javascript no desenvolvimento web React.js e Backend Node.js com Nest.js, Java. Levantamento de Requisitos, desenvolvimento de novas features, refatoração de códigos, transição de JavaScript para TypeScript, Code Review e suporte para toda equipe.",fullstack
Desenvolvedor React Sênior,"Contratado especificamente para o projeto Banco digital Crefisa.Atualmente Líder técnico do produto de Conta Corrente. Atuando no desenvolvimento do aplicativo do banco em React Native e o Internet Banking com React.Desenvolvimento de novas funcionalidades, soluções específicas, entendimento e criação de regras.",mobile-fullstack
Analista de desenvolvimento de aplicativos,"Desenvolvimento e Manutenção de Apps, utilizando React Native como principal Framework.Gestão da loja Apple para geração de certificados e configurações de novas aplicações.",mobile
Desenvolvedor Mobile ( React-Native ),"Desenvolvedor mobile atuando nos aplicativos Ferreira e Chagas, Jurify. Responsável pela manutenção e criação de novas funcionalidades. Principais atividades desenvolvidas: Configuração Firebase, Envio e recebimento de notificações, Chat em tempo real com ChatKit, utilização de GeoLocalização para check-in, recuperação de senha utilizando API Devise Ruby on Rails",mobile
Desenvolvedor Full Stack,"Responsável pelo desenvolvimento do MVP, utilizando como base React Native para o aplicativo mobile e PHP Yii framework para criação da API. Além de eventuais manutenções no front-end. Principais atividades desenvolvidas: Criação do aplicativo com base em mockups, renderização de mapas com geometrias disponibilizadas pelo IBGE, geolocalização, utilização de Node.js para criação de arquivos json com as geometrias utilizadas na aplicação.",mobile-fullstack
